[2025-10-04 21:28:23,608] 4ab6ca1e7391/INFO/test_locust: Hybrid Search:
[2025-10-04 21:28:23,608] 4ab6ca1e7391/INFO/test_locust:   Count: 62
[2025-10-04 21:28:23,609] 4ab6ca1e7391/INFO/test_locust:   Average: 5147.44ms
[2025-10-04 21:28:23,609] 4ab6ca1e7391/INFO/test_locust:   P50: 5585.61ms
[2025-10-04 21:28:23,609] 4ab6ca1e7391/INFO/test_locust:   P95: 15723.09ms
[2025-10-04 21:28:23,610] 4ab6ca1e7391/INFO/test_locust:   P99: 16019.18ms
[2025-10-04 21:28:23,610] 4ab6ca1e7391/INFO/test_locust:   Min: 14.82ms
[2025-10-04 21:28:23,610] 4ab6ca1e7391/INFO/test_locust:   Max: 16019.18ms
[2025-10-04 21:28:23,610] 4ab6ca1e7391/INFO/test_locust: 
[2025-10-04 21:28:23,611] 4ab6ca1e7391/INFO/test_locust: Health Check:
[2025-10-04 21:28:23,611] 4ab6ca1e7391/INFO/test_locust:   Count: 11
[2025-10-04 21:28:23,611] 4ab6ca1e7391/INFO/test_locust:   Average: 3087.35ms
[2025-10-04 21:28:23,611] 4ab6ca1e7391/INFO/test_locust:   P50: 2.51ms
[2025-10-04 21:28:23,612] 4ab6ca1e7391/INFO/test_locust:   P95: 13513.29ms
[2025-10-04 21:28:23,612] 4ab6ca1e7391/INFO/test_locust:   P99: 13513.29ms
[2025-10-04 21:28:23,612] 4ab6ca1e7391/INFO/test_locust:   Min: 1.84ms
[2025-10-04 21:28:23,612] 4ab6ca1e7391/INFO/test_locust:   Max: 13513.29ms
[2025-10-04 21:28:23,612] 4ab6ca1e7391/INFO/test_locust: 
[2025-10-04 21:28:23,617] 4ab6ca1e7391/INFO/test_locust: Detailed report saved to: performance_baseline_report.json
[2025-10-04 21:28:23,618] 4ab6ca1e7391/INFO/test_locust: ============================================================
[2025-10-04 21:28:23,618] 4ab6ca1e7391/INFO/test_locust: POC BASELINE MEASUREMENT COMPLETE
[2025-10-04 21:28:23,618] 4ab6ca1e7391/INFO/test_locust: Note: This is baseline data collection only.
[2025-10-04 21:28:23,618] 4ab6ca1e7391/INFO/test_locust: No performance targets or pass/fail criteria applied.
[2025-10-04 21:28:23,619] 4ab6ca1e7391/INFO/test_locust: ============================================================
